brand_name,generic_name,year
Basaglar Tempo Pen U-100,"Insulin Glargine,hum.Rec.Anlog",2024
Bd Insulin Syringe Ult-Fine Ii,"Syringe-Needle,insulin,0.5 Ml",2024
Bd Insulin Syringe Ultra-Fine,"Syringe-Needle,insulin,0.5 Ml",2024
Bydureon Bcise,Exenatide Microspheres,2024
Byetta,Exenatide,2024
Cequr Simplicity,"Bolus Insulin Pump, 200 Unit",2024
Comfort Ez Insulin Syringe,"Syringe And Needle,insulin,1ml",2024
Comfort Ez Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2024
Dapagliflozin,Dapagliflozin Propanediol,2024
Dapagliflozin-Metformin Er,Dapaglifloz Propaned/Metformin,2024
Droplet Insulin Syringe,"Syringe And Needle,insulin,1ml",2024
Easy Comfort Insulin Syringe,"Syringe And Needle,insulin,1ml",2024
Easy Comfort Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2024
Easy Glide Insulin Syringe,"Syringe And Needle,insulin,1ml",2024
Easy Glide Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2024
Easy Touch,"Syringe And Needle,insulin,1ml",2024
Easy Touch,"Syringe-Needle,insulin,0.5 Ml",2024
Easy Touch Insulin Syringe,"Syringe And Needle,insulin,1ml",2024
Easy Touch Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2024
Easy-Touch Insulin Syringe,"Syringe And Needle,insulin,1ml",2024
Farxiga,Dapagliflozin Propanediol,2024
Fiasp,Insulin Aspart (Niacinamide),2024
Fiasp Flextouch,Insulin Aspart (Niacinamide),2024
Fiasp Penfill,Insulin Aspart (Niacinamide),2024
Glimepiride,Glimepiride,2024
Glipizide,Glipizide,2024
Glipizide Er,Glipizide,2024
Glipizide Xl,Glipizide,2024
Glipizide-Metformin,Glipizide/Metformin Hcl,2024
Glucotrol Xl,Glipizide,2024
Glumetza,Metformin Hcl,2024
Glyburide,Glyburide,2024
Glyburide Micronized,"Glyburide,micronized",2024
Glyburide-Metformin Hcl,Glyburide/Metformin Hcl,2024
Glyxambi,Empagliflozin/Linagliptin,2024
Humalog,Insulin Lispro,2024
Humalog Junior Kwikpen,Insulin Lispro,2024
Humalog Kwikpen U-100,Insulin Lispro,2024
Humalog Kwikpen U-200,Insulin Lispro,2024
Humalog Mix 50-50 Kwikpen,Insulin Lispro Protamin/Lispro,2024
Humalog Mix 75-25,Insulin Lispro Protamin/Lispro,2024
Humalog Mix 75-25 Kwikpen,Insulin Lispro Protamin/Lispro,2024
Humalog Tempo Pen U-100,Insulin Lispro,2024
Humulin 70-30,Insulin Nph Hum/Reg Insulin Hm,2024
