brand_name,generic_name,year,drug_class,matched_terms,marketed_name_type,scope_status
Vanishpoint,"Syringe And Needle,insulin,1ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Veo Insulin Syringe,"Syringe And Needle,insulin,1ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Veo Insulin Syringe,"Syringe And Needle,insulin,1ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Veo Insulin Syringe,"Syringe And Needle,insulin,1ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Monoject Insulin Safety Syrng,"Syringe With Needle, Insulin",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Monoject Insulin Safety Syrng,"Syringe With Needle, Insulin",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Monoject Insulin Safety Syrng,"Syringe With Needle, Insulin",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Insulin Syringe,"Syringe,insulin,needless 1 Ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Insulin Syringe,"Syringe,insulin,needless 1 Ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Luer-Lok Syringe,"Syringe,insulin,needless 1 Ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Advocate Syringes,"Syringe-Needle,insulin,0.5 Ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Advocate Syringes,"Syringe-Needle,insulin,0.5 Ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Advocate Syringes,"Syringe-Needle,insulin,0.5 Ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Bd Insulin Syringe Ult-Fine Ii,"Syringe-Needle,insulin,0.5 Ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Bd Insulin Syringe Ult-Fine Ii,"Syringe-Needle,insulin,0.5 Ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Bd Insulin Syringe Ult-Fine Ii,"Syringe-Needle,insulin,0.5 Ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Bd Insulin Syringe Ultra-Fine,"Syringe-Needle,insulin,0.5 Ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Bd Insulin Syringe Ultra-Fine,"Syringe-Needle,insulin,0.5 Ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Bd Insulin Syringe Ultra-Fine,"Syringe-Needle,insulin,0.5 Ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Comfort Ez Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Comfort Ez Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Comfort Ez Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Easy Comfort Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Easy Comfort Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Easy Comfort Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Easy Glide Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Easy Glide Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Easy Glide Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Easy Touch,"Syringe-Needle,insulin,0.5 Ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Easy Touch,"Syringe-Needle,insulin,0.5 Ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Easy Touch,"Syringe-Needle,insulin,0.5 Ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
